ADDRESS,IMAP,imap port,SMTP,smtp port
gmx.com,imap.gmx.net,993,mail.gmx.net,587
gmx.de,imap.gmx.net,993,mail.gmx.net,587
gmx.eu,imap.gmx.net,993,mail.gmx.net,587
gmx.info,imap.gmx.net,993,mail.gmx.net,587
gmx.net,imap.gmx.net,993,mail.gmx.net,587
gmx.org,imap.gmx.net,993,mail.gmx.net,587
goat.si,mail.cock.li,993,mail.cock.li,587
googlemail.com,imap.googlemail.com,993,smtp.googlemail.com,587
hitler.rocks,mail.cock.li,993,mail.cock.li,587
horsefucker.org,mail.cock.li,993,mail.cock.li,587
hostgator,gator4171.hostgator.com,993,gator4171.hostgator.com,587
hotmail.com,imap-mail.outlook.com,993,smtp-mail.outlook.com,587
iname.com,imap.mail.com,995,smtp.mail.com,587
linuxmail.org,imap.mail.com,995,smtp.mail.com,587
live.com,imap-mail.outlook.com,993,smtp-mail.outlook.com,587
loves.dicksinhisan.us,mail.cock.li,993,mail.cock.li,587
loves.dicksinmyan.us,mail.cock.li,993,mail.cock.li,587
lukesmith.xyz,gator4171.hostgator.com,993,gator4171.hostgator.com,587
mail.com,imap.mail.com,995,smtp.mail.com,587
mailbox.org,imap.mailbox.org,993,smtp.mailbox.org,465
memeware.net,mail.cock.li,993,mail.cock.li,587
msn.com,imap-mail.outlook.com,993,smtp-mail.outlook.com,587
muny.us,mail.muny.us,993,mail.muny.us,465
myself.com,imap.mail.com,995,smtp.mail.com,587
narod.ru,imap.yandex.com,993,smtp.yandex.com,465
national.shitposting.agency,mail.cock.li,993,mail.cock.li,587
nigge.rs,mail.cock.li,993,mail.cock.li,587
nuke.africa,mail.cock.li,993,mail.cock.li,587
outlook.com,imap-mail.outlook.com,993,smtp-mail.outlook.com,587
post.com,imap.mail.com,995,smtp.mail.com,587
posteo.de,posteo.de,993,posteo.de,587
rape.lol,mail.cock.li,993,mail.cock.li,587
redchan.it,mail.cock.li,993,mail.cock.li,587
runbox.com,mail.runbox.com,993,mail.runbox.com,587
rwth-aachen.de,mail.rwth-aachen.de,993,mail.rwth-aachen.de,587
sapo.pt,imap.sapo.pt,993,smtp.sapo.pt,587
techie.com,imap.mail.com,995,smtp.mail.com,587
teknik.io,mail.teknik.io,993,mail.teknik.io,587
tfwno.gf,mail.cock.li,993,mail.cock.li,587
tu-harburg.de,mail.tu-harburg.de,993,mail.tu-harburg.de,587
tuhh.de,mail.tu-harburg.de,993,mail.tu-harburg.de,587
usa.com,imap.mail.com,995,smtp.mail.com,587
uymail.com,imap.mail.com,995,smtp.mail.com,587
waifu.club,mail.cock.li,993,mail.cock.li,587
wants.dicksinhisan.us,mail.cock.li,993,mail.cock.li,587
wants.dicksinmyan.us,mail.cock.li,993,mail.cock.li,587
writeme.com,imap.mail.com,995,smtp.mail.com,587
ya.ru,imap.yandex.com,993,smtp.yandex.com,465
yahoo.com,imap.mail.yahoo.com,993,smtp.mail.yahoo.com,587
yandex.by,imap.yandex.com,993,smtp.yandex.com,465
yandex.com,imap.yandex.com,993,smtp.yandex.com,465
yandex.com,imap.yandex.com,993,smtp.yandex.com,465
yandex.kz,imap.yandex.com,993,smtp.yandex.com,465
yandex.net,imap.yandex.com,993,smtp.yandex.com,465
yandex.ru,imap.yandex.com,993,smtp.yandex.com,465
yandex.ua,imap.yandex.com,993,smtp.yandex.com,465
zoho.com,imap.zoho.com,993,smtp.zoho.com,465
